Name,Status,Location,Manufacturer,Item_Type,Model,Inventory_Number,User
PAS-TEST-001,En stock,Laboratoire IA,APC,Phone,Patch Panel 24,INV-DC-0001,
PHO-TEST-002,En panne,Laboratoire IA,APC,Phone,SIP-T46U,INV-IT-0002,Rasoanaivo Marie
CAR-TEST-003,,Bibliothèque,HP,Computer,,,
CAR-TEST-004,,Magasin Informatique,Microsoft,Computer,,,
SOF-TEST-005,,,Microsoft,Printer,,,Bibliothèque
PER-TEST-006,En stock,Bibliothèque,Cisco,Monitor,MX Master 3,INV-IT-0006,Bibliothèque
RAC-TEST-007,En panne,Salle Serveur,Logitech,Printer,S-Series 42U,INV-DC-0007,
CAR-TEST-008,,Administration,Logitech,Computer,,,
ENC-TEST-009,En production,Comptabilité,Adobe,Monitor,PowerEdge M1000e,INV-DC-0009,
NET-TEST-010,En stock,Salle Serveur,HP,Phone,EX2300,INV-IT-0010,Rakoto Michel
CAR-TEST-011,,Bibliothèque,Cisco,Computer,,,
COM-TEST-012,En panne,Salle 301,Dell,Computer,ThinkCentre M70,INV-IT-0012,Bibliothèque
PER-TEST-013,En panne,Bibliothèque,Lenovo,Monitor,MX Master 3,INV-IT-0013,Rakotondranaivo Paul
PAS-TEST-014,En production,Salle Serveur,Microsoft,Phone,Patch Panel 24,INV-DC-0014,
RAC-TEST-015,En panne,Laboratoire IA,Cisco,Printer,S-Series 42U,INV-DC-0015,
NET-TEST-016,En production,Comptabilité,Lenovo,Phone,EX2300,INV-IT-0016,Rakotondranaivo Paul
ENC-TEST-017,En stock,Baie 1,Adobe,Monitor,BladeSystem c7000,INV-DC-0017,
PRI-TEST-018,Maintenance,Laboratoire IA,Microsoft,Printer,EcoTank,INV-IT-0018,Rabe Hanitra
PRI-TEST-019,En stock,Salle 301,Microsoft,Printer,EcoTank,INV-IT-0019,Rakotondranaivo Paul
COM-TEST-020,En stock,Salle 301,Dell,Computer,OptiPlex 7010,INV-IT-0020,ITU Labs
PDU-TEST-021,En production,Comptabilité,Logitech,Computer,Metered Printer PDU,INV-DC-0021,
PHO-TEST-022,En stock,Magasin Informatique,Epson,Phone,SIP-T46U,INV-IT-0022,Rabe Hanitra
ENC-TEST-023,Maintenance,Salle Serveur,Lenovo,Monitor,BladeSystem c7000,INV-DC-0023,
CAB-TEST-024,Déconnecté,,,Printer,,CBL-0024,
RAC-TEST-025,En stock,Salle Serveur,Lenovo,Printer,S-Series 42U,INV-DC-0025,
PER-TEST-026,Maintenance,Salle 301,HP,Monitor,MX Master 3,INV-IT-0026,Bibliothèque
SOF-TEST-027,,,Oracle,Printer,,,Rakotondranaivo Paul
SOF-TEST-028,,,Oracle,Printer,,,Rakotondranaivo Paul
PER-TEST-029,En panne,Administration,Adobe,Monitor,Ergonomic Keyboard,INV-IT-0029,Rakotondranaivo Paul
COM-TEST-030,En production,Salle 301,Cisco,Computer,OptiPlex 7010,INV-IT-0030,Rakoto Michel
MON-TEST-031,En stock,Baie 1,Lenovo,Monitor,Odyssey G5,INV-IT-0031,Bibliothèque
CON-TEST-032,,Magasin Informatique,Logitech,Phone,,,
PER-TEST-033,En panne,Salle 301,Logitech,Monitor,MX Master 3,INV-IT-0033,Rakoto Jean
CAB-TEST-034,Déconnecté,,,Printer,,CBL-0034,
PER-TEST-035,En panne,Baie 1,Adobe,Monitor,MX Master 3,INV-IT-0035,Rakoto Michel
PER-TEST-036,En production,Baie 1,Epson,Monitor,MX Master 3,INV-IT-0036,Rasoanaivo Marie
NET-TEST-037,Maintenance,Baie 1,Cisco,Phone,EX2300,INV-IT-0037,Rabe Hanitra
PER-TEST-038,Maintenance,Salle Serveur,Lenovo,Monitor,MX Master 3,INV-IT-0038,Rakoto Michel
PAS-TEST-039,En stock,Comptabilité,Epson,Phone,Fiber Box,INV-DC-0039,
MON-TEST-040,Maintenance,Magasin Informatique,Microsoft,Monitor,Odyssey G5,INV-IT-0040,Rakoto Jean
CAB-TEST-041,Déconnecté,,,Printer,,CBL-0041,
PDU-TEST-042,Maintenance,Magasin Informatique,APC,Computer,Metered Printer PDU,INV-DC-0042,
CAR-TEST-043,,Administration,HP,Computer,,,
CAB-TEST-044,Déconnecté,,,Printer,,CBL-0044,
PRI-TEST-045,En panne,Baie 1,Epson,Printer,LaserJet Pro,INV-IT-0045,Rakoto Michel
RAC-TEST-046,En panne,Laboratoire IA,Logitech,Printer,S-Series 42U,INV-DC-0046,
SOF-TEST-047,,,Oracle,Printer,,,Rasoanaivo Marie
MON-TEST-048,En stock,Salle 301,Microsoft,Monitor,ProDisplay,INV-IT-0048,ITU Labs
PHO-TEST-049,En panne,Bibliothèque,HP,Phone,SIP-T46U,INV-IT-0049,Rakoto Michel
PER-TEST-050,En stock,Comptabilité,Microsoft,Monitor,Ergonomic Keyboard,INV-IT-0050,ITU Labs
COM-TEST-051,En panne,Salle Serveur,Dell,Computer,OptiPlex 7010,INV-IT-0051,ITU Labs
CON-TEST-052,,Administration,Cisco,Phone,,,
MON-TEST-053,Maintenance,Laboratoire IA,HP,Monitor,Odyssey G5,INV-IT-0053,Bibliothèque
COM-TEST-054,En stock,Magasin Informatique,HP,Computer,ThinkCentre M70,INV-IT-0054,Rakoto Michel
PDU-TEST-055,En panne,Bibliothèque,HP,Computer,Switched PDU,INV-DC-0055,
MON-TEST-056,En stock,Salle 301,Adobe,Monitor,UltraSharp 24,INV-IT-0056,Rasoanaivo Marie
COM-TEST-057,En production,Salle Serveur,Logitech,Computer,ThinkCentre M70,INV-IT-0057,Bibliothèque
ENC-TEST-058,En production,Administration,Microsoft,Monitor,BladeSystem c7000,INV-DC-0058,
CON-TEST-059,,Comptabilité,Cisco,Phone,,,
COM-TEST-060,Maintenance,Bibliothèque,Dell,Computer,OptiPlex 7010,INV-IT-0060,Rakoto Jean
NET-TEST-061,En production,Laboratoire IA,Epson,Phone,EX2300,INV-IT-0061,Rakoto Jean
PRI-TEST-062,En production,Comptabilité,Logitech,Printer,LaserJet Pro,INV-IT-0062,Rakotondranaivo Paul
RAC-TEST-063,En stock,Laboratoire IA,Epson,Printer,NetShelter SX,INV-DC-0063,
ENC-TEST-064,En production,Bibliothèque,HP,Monitor,PowerEdge M1000e,INV-DC-0064,
SOF-TEST-065,,,JetBrains,Printer,,,Rakoto Michel
PHO-TEST-066,En stock,Comptabilité,APC,Phone,SIP-T46U,INV-IT-0066,Rabe Hanitra
CON-TEST-067,,Magasin Informatique,Epson,Phone,,,
CON-TEST-068,,Salle 301,HP,Phone,,,
PER-TEST-069,Maintenance,Baie 1,Lenovo,Monitor,MX Master 3,INV-IT-0069,Rakoto Michel
CAR-TEST-070,,Administration,Cisco,Computer,,,
CAR-TEST-071,,Salle 301,Cisco,Computer,,,
RAC-TEST-072,En stock,Laboratoire IA,Cisco,Printer,NetShelter SX,INV-DC-0072,
CON-TEST-073,,Comptabilité,Dell,Phone,,,
CAR-TEST-074,,Salle Serveur,Microsoft,Computer,,,
PDU-TEST-075,En stock,Comptabilité,Logitech,Computer,Metered Printer PDU,INV-DC-0075,
RAC-TEST-076,En stock,Magasin Informatique,Adobe,Printer,NetShelter SX,INV-DC-0076,
CAB-TEST-077,Connecté,,,Printer,,CBL-0077,
PER-TEST-078,En stock,Magasin Informatique,APC,Monitor,MX Master 3,INV-IT-0078,Rakoto Michel
PAS-TEST-079,En panne,Baie 1,Dell,Phone,Fiber Box,INV-DC-0079,
NET-TEST-080,En stock,Administration,Adobe,Phone,Catalyst 2960,INV-IT-0080,Rasoanaivo Marie
PAS-TEST-081,En panne,Laboratoire IA,Lenovo,Phone,Patch Panel 24,INV-DC-0081,
ENC-TEST-082,Maintenance,Baie 1,APC,Monitor,BladeSystem c7000,INV-DC-0082,
CAR-TEST-083,,Magasin Informatique,Lenovo,Computer,,,
PAS-TEST-084,En stock,Baie 1,Microsoft,Phone,Patch Panel 24,INV-DC-0084,
NET-TEST-085,En stock,Comptabilité,Epson,Phone,EX2300,INV-IT-0085,ITU Labs
RAC-TEST-086,En panne,Bibliothèque,Cisco,Printer,S-Series 42U,INV-DC-0086,
PDU-TEST-087,Maintenance,Magasin Informatique,Logitech,Computer,Switched PDU,INV-DC-0087,
SOF-TEST-088,,,JetBrains,Printer,,,ITU Labs
CAB-TEST-089,Déconnecté,,,Printer,,CBL-0089,
RAC-TEST-090,En panne,Laboratoire IA,HP,Printer,NetShelter SX,INV-DC-0090,
CON-TEST-091,,Magasin Informatique,Microsoft,Phone,,,
NET-TEST-092,Maintenance,Magasin Informatique,HP,Phone,EX2300,INV-IT-0092,Rakotondranaivo Paul
COM-TEST-093,Maintenance,Baie 1,Logitech,Computer,OptiPlex 7010,INV-IT-0093,ITU Labs
MON-TEST-094,En panne,Salle Serveur,Logitech,Monitor,Odyssey G5,INV-IT-0094,Rakoto Jean
PAS-TEST-095,En stock,Salle 301,Dell,Phone,Patch Panel 24,INV-DC-0095,
NET-TEST-096,Maintenance,Baie 1,Adobe,Phone,Catalyst 2960,INV-IT-0096,Rakoto Michel
CON-TEST-097,,Magasin Informatique,Microsoft,Phone,,,
CON-TEST-098,,Bibliothèque,Cisco,Phone,,,
SOF-TEST-099,,,Microsoft,Printer,,,Rakoto Jean
ENC-TEST-100,En production,Salle 301,Epson,Monitor,PowerEdge M1000e,INV-DC-0100,
